id	code	symbol	name	rootShape	handCommands	activeFingers	fingerShapeCommands
279713	0x444a1	񄒡	HAND-FIST RING INDEX	FIST		RING,INDEX		
279809	0x44501	񄔁	HAND-FIST RING THUMB	FIST		RING,THUMB		
279905	0x44561	񄕡	HAND-HOOK RING THUMB	HOOK		RING,THUMB		
280001	0x445c1	񄗁	HAND-FIST INDEX RING LITTLE	FIST		INDEX,RING,LITTLE		
280097	0x44621	񄘡	HAND-CIRCLE INDEX RING LITTLE	CIRCLE		INDEX,RING,LITTLE		
280193	0x44681	񄚁	HAND-CURLICUE INDEX RING LITTLE ON	CURLICUE		INDEX,RING,LITTLE		
280289	0x446e1	񄛡	HAND-HOOK INDEX RING LITTLE OUT	HOOK		INDEX,RING,LITTLE	INDEX:OUT,RING:OUT,LITTLE:OUT	
280385	0x44741	񄝁	HAND-HOOK INDEX RING LITTLE IN	HOOK		INDEX,RING,LITTLE		CROSS(THUMB:MIDDLE)
280481	0x447a1	񄞡	HAND-HOOK INDEX RING LITTLE UNDER	HOOK		INDEX,RING,LITTLE		MOVE(INDEX-->UNDER:THUMB|MIDDLE),MOVE(RING-->UNDER:THUMB|MIDDLE),MOVE(LITTLE-->UNDER:THUMB|MIDDLE)
280577	0x44801	񄠁	HAND-CUP INDEX RING LITTLE	CUP		INDEX,RING,LITTLE		
280673	0x44861	񄡡	HAND-HINGE INDEX RING LITTLE	HINGE		INDEX,RING,LITTLE		
280769	0x448c1	񄣁	HAND-ANGLE INDEX RING LITTLE OUT	ANGLE		INDEX,RING,LITTLE	INDEX:OUT,RING:OUT,LITTLE:OUT	
280865	0x44921	񄤡	HAND-ANGLE INDEX RING LITTLE	ANGLE		INDEX,RING,LITTLE		
280961	0x44981	񄦁	HAND-FIST MIDDLE DOWN	FIST		MIDDLE	MIDDLE:DOWN	
281057	0x449e1	񄧡	HAND-HINGE MIDDLE	HINGE		MIDDLE		
281153	0x44a41	񄩁	HAND-FIST MIDDLE UP	FIST		MIDDLE	MIDDLE:UP	
281249	0x44aa1	񄪡	HAND-CIRCLE MIDDLE UP	CIRCLE		MIDDLE	MIDDLE:UP	
281345	0x44b01	񄬁	HAND-FIST MIDDLE RAISED KNUCKLE	FIST		MIDDLE	MIDDLE:RAISED_KNUCKLE	
281441	0x44b61	񄭡	HAND-FIST MIDDLE UP THUMB SIDE	FIST		MIDDLE,THUMB	MIDDLE:UP,THUMB:SIDE	
281537	0x44bc1	񄯁	HAND-HOOK MIDDLE THUMB	HOOK		MIDDLE,THUMB		
281633	0x44c21	񄰡	HAND-FIST MIDDLE THUMB LITTLE	FIST		MIDDLE,THUMB,LITTLE		
281729	0x44c81	񄲁	HAND-FIST MIDDLE LITTLE	FIST		MIDDLE,LITTLE		
281825	0x44ce1	񄳡	HAND-FIST MIDDLE RING LITTLE	FIST		MIDDLE,RING,LITTLE		
281921	0x44d41	񄵁	HAND-CIRCLE MIDDLE RING LITTLE	CIRCLE		MIDDLE,RING,LITTLE		
282017	0x44da1	񄶡	HAND-CURLICUE MIDDLE RING LITTLE ON	CURLICUE		MIDDLE,RING,LITTLE		
282113	0x44e01	񄸁	HAND-CUP MIDDLE RING LITTLE	CUP		MIDDLE,RING,LITTLE		
282209	0x44e61	񄹡	HAND-HINGE MIDDLE RING LITTLE	HINGE		MIDDLE,RING,LITTLE		
282305	0x44ec1	񄻁	HAND-ANGLE MIDDLE RING LITTLE OUT	ANGLE		MIDDLE,RING,LITTLE	MIDDLE:OUT,RING:OUT,LITTLE:OUT	
282401	0x44f21	񄼡	HAND-ANGLE MIDDLE RING LITTLE IN	ANGLE		MIDDLE,RING,LITTLE		CROSS(THUMB:INDEX)
282497	0x44f81	񄾁	HAND-ANGLE MIDDLE RING LITTLE	ANGLE		MIDDLE,RING,LITTLE		
282593	0x44fe1	񄿡	HAND-CIRCLE MIDDLE RING LITTLE BENT	CIRCLE		MIDDLE,RING,LITTLE	MIDDLE:BENT,RING:BENT,LITTLE:BENT	
282689	0x45041	񅁁	HAND-CLAW MIDDLE RING LITTLE CONJOINED	CLAW		MIDDLE,RING,LITTLE		GROUP(CONJOINED:MIDDLE|RING|LITTLE)
282785	0x450a1	񅂡	HAND-CLAW MIDDLE RING LITTLE CONJOINED SIDE	CLAW		MIDDLE,RING,LITTLE	LITTLE:SIDE	GROUP(CONJOINED:MIDDLE|RING|LITTLE)
282881	0x45101	񅄁	HAND-HOOK MIDDLE RING LITTLE CONJOINED OUT	HOOK		MIDDLE,RING,LITTLE	MIDDLE:OUT,RING:OUT,LITTLE:OUT	GROUP(CONJOINED:MIDDLE|RING|LITTLE)
282977	0x45161	񅅡	HAND-HOOK MIDDLE RING LITTLE CONJOINED IN	HOOK		MIDDLE,RING,LITTLE		GROUP(CONJOINED:MIDDLE|RING|LITTLE),CROSS(THUMB:INDEX)
283073	0x451c1	񅇁	HAND-HOOK MIDDLE RING LITTLE CONJOINED	HOOK		MIDDLE,RING,LITTLE		GROUP(CONJOINED:MIDDLE|RING|LITTLE)
283169	0x45221	񅈡	HAND-HINGE INDEX HINGED	HINGE		INDEX	INDEX:HINGED	
283265	0x45281	񅊁	HAND-FIST INDEX THUMB SIDE	FIST		INDEX,THUMB	THUMB:SIDE	
283361	0x452e1	񅋡	HAND-HINGE INDEX THUMB SIDE	HINGE		INDEX,THUMB	THUMB:SIDE	
283457	0x45341	񅍁	HAND-FIST INDEX THUMB SIDE THUMB DIAGONAL	FIST		INDEX,THUMB,THUMB	THUMB:SIDE,THUMB:DIAGONAL	
283553	0x453a1	񅎡	HAND-FIST INDEX THUMB SIDE THUMB CONJOINED	FIST		INDEX,THUMB,THUMB	THUMB:SIDE	GROUP(CONJOINED:THUMB|PALM)
283649	0x45401	񅐁	HAND-FIST INDEX THUMB SIDE THUMB BENT	FIST		INDEX,THUMB,THUMB	THUMB:SIDE,THUMB:BENT	
283745	0x45461	񅑡	HAND-FIST INDEX THUMB SIDE INDEX BENT	FIST		INDEX,THUMB,INDEX	THUMB:SIDE,INDEX:BENT	
283841	0x454c1	񅓁	HAND-FIST INDEX THUMB SIDE BOTH BENT	FIST		INDEX,THUMB,INDEX,THUMB	THUMB:SIDE,INDEX:BENT,THUMB:BENT	
283937	0x45521	񅔡	HAND-FIST INDEX THUMB SIDE INDEX HINGE	FIST		INDEX,THUMB,INDEX	THUMB:SIDE,INDEX:HINGED	
284033	0x45581	񅖁	HAND-FIST INDEX THUMB FORWARD INDEX STRAIGHT	FIST		INDEX,THUMB,INDEX	INDEX:FORWARD,THUMB:FORWARD,INDEX:STRAIGHT	
284129	0x455e1	񅗡	HAND-FIST INDEX THUMB FORWARD INDEX BENT	FIST		INDEX,THUMB,INDEX	INDEX:FORWARD,THUMB:FORWARD,INDEX:BENT	
284225	0x45641	񅙁	HAND-FIST INDEX THUMB HOOK	FIST		INDEX,THUMB		GROUP(HOOKED:INDEX|THUMB)
284321	0x456a1	񅚡	HAND-FIST INDEX THUMB CURLICUE	FIST	CURLICUE	INDEX,THUMB		
284417	0x45701	񅜁	HAND-FIST INDEX THUMB CURVE THUMB INSIDE	FIST		INDEX,THUMB,THUMB	THUMB:CURVE	CROSS(INDEX:MIDDLE)
284513	0x45761	񅝡	HAND-CLAW INDEX THUMB CURVE THUMB INSIDE	CLAW		INDEX,THUMB,THUMB	THUMB:CURVE	CROSS(INDEX:MIDDLE)
284609	0x457c1	񅟁	HAND-FIST INDEX THUMB CURVE THUMB UNDER	FIST		INDEX,THUMB,THUMB	THUMB:CURVE	MOVE(THUMB-->UNDER:INDEX|MIDDLE|RING|LITTLE)
284705	0x45821	񅠡	HAND-FIST INDEX THUMB CIRCLE	FIST		INDEX,THUMB		GROUP(CIRCLED:INDEX|THUMB)
284801	0x45881	񅢁	HAND-CUP INDEX THUMB	CUP		INDEX,THUMB		
284897	0x458e1	񅣡	HAND-CUP INDEX THUMB OPEN	CUP	OPEN	INDEX,THUMB		
284993	0x45941	񅥁	HAND-HINGE INDEX THUMB OPEN	HINGE	OPEN	INDEX,THUMB		
285089	0x459a1	񅦡	HAND-HINGE INDEX THUMB LARGE	HINGE	LARGE	INDEX,THUMB		
285185	0x45a01	񅨁	HAND-HINGE INDEX THUMB	HINGE		INDEX,THUMB		
285281	0x45a61	񅩡	HAND-HINGE INDEX THUMB SMALL	HINGE	SMALL	INDEX,THUMB		
285377	0x45ac1	񅫁	HAND-ANGLE INDEX THUMB OUT	ANGLE		INDEX,THUMB	INDEX:OUT,THUMB:OUT	
285473	0x45b21	񅬡	HAND-ANGLE INDEX THUMB IN	ANGLE		INDEX,THUMB		CROSS(MIDDLE:RING)
285569	0x45b81	񅮁	HAND-ANGLE INDEX THUMB	ANGLE		INDEX,THUMB		
285665	0x45be1	񅯡	HAND-FIST THUMB	FIST		THUMB		
285761	0x45c41	񅱁	HAND-FIST THUMB HEEL	FIST	HEEL	THUMB		
285857	0x45ca1	񅲡	HAND-FIST THUMB SIDE DIAGONAL	FIST		THUMB	THUMB:SIDE,THUMB:DIAGONAL	
285953	0x45d01	񅴁	HAND-FIST THUMB SIDE CONJOINED	FIST		THUMB	THUMB:SIDE	GROUP(CONJOINED:THUMB|PALM)
286049	0x45d61	񅵡	HAND-FIST THUMB SIDE BENT	FIST		THUMB	THUMB:SIDE,THUMB:BENT	
286145	0x45dc1	񅷁	HAND-FIST THUMB FORWARD	FIST		THUMB	THUMB:FORWARD	
286241	0x45e21	񅸡	HAND-FIST THUMB BETWEEN INDEX MIDDLE	FIST		THUMB,INDEX,MIDDLE		MOVE(THUMB-->BETWEEN:INDEX|MIDDLE)
286337	0x45e81	񅺁	HAND-FIST THUMB BETWEEN MIDDLE RING	FIST		THUMB,MIDDLE,RING		MOVE(THUMB-->BETWEEN:MIDDLE|RING)
286433	0x45ee1	񅻡	HAND-FIST THUMB BETWEEN RING LITTLE	FIST		THUMB,RING,LITTLE		MOVE(THUMB-->BETWEEN:RING|LITTLE)
286529	0x45f41	񅽁	HAND-FIST THUMB UNDER TWO FINGERS	FIST		THUMB,INDEX,MIDDLE		MOVE(THUMB-->UNDER:INDEX|MIDDLE)
286625	0x45fa1	񅾡	HAND-FIST THUMB OVER TWO FINGERS	FIST		THUMB,INDEX,MIDDLE		MOVE(THUMB-->OVER:INDEX|MIDDLE)
286721	0x46001	񆀁	HAND-FIST THUMB UNDER THREE FINGERS	FIST		THUMB,INDEX,MIDDLE,RING		MOVE(THUMB-->UNDER:INDEX|MIDDLE|RING)
286817	0x46061	񆁡	HAND-FIST THUMB UNDER FOUR FINGERS	FIST		THUMB,INDEX,MIDDLE,RING,LITTLE		MOVE(THUMB-->UNDER:INDEX|MIDDLE|RING|LITTLE)
286913	0x460c1	񆃁	HAND-FIST THUMB OVER FOUR RAISED KNUCKLES	FIST		THUMB,INDEX,MIDDLE,RING,LITTLE	INDEX:RAISED_KNUCKLE,MIDDLE:RAISED_KNUCKLE,RING:RAISED_KNUCKLE,LITTLE:RAISED_KNUCKLE	MOVE(THUMB-->OVER:INDEX|MIDDLE|RING|LITTLE)
287009	0x46121	񆄡	HAND-FIST	FIST				
287105	0x46181	񆆁	HAND-FIST HEEL	FIST	HEEL			
