id	code	symbol	name	rootShape	handCommands	activeFingers	fingerShapeCommands
266177	0x40fc1	񀿁	HAND-FIST INDEX MIDDLE THUMB HOOKED	FIST		INDEX,MIDDLE,THUMB		GROUP(HOOKED:INDEX|MIDDLE|THUMB)
266273	0x41021	񁀡	HAND-FIST INDEX MIDDLE THUMB HINGED	FIST		INDEX,MIDDLE,THUMB	INDEX:HINGED,MIDDLE:HINGED,THUMB:HINGED	
266369	0x41081	񁂁	HAND-FIST THUMB BETWEEN INDEX MIDDLE STRAIGHT	FIST		THUMB,INDEX,MIDDLE	INDEX:STRAIGHT,MIDDLE:STRAIGHT	MOVE(THUMB-->BETWEEN:INDEX|MIDDLE)
266465	0x410e1	񁃡	HAND-FIST INDEX MIDDLE CONJOINED THUMB SIDE	FIST		INDEX,MIDDLE,THUMB	THUMB:SIDE	GROUP(CONJOINED:INDEX|MIDDLE)
266561	0x41141	񁅁	HAND-FIST INDEX MIDDLE CONJOINED THUMB SIDE CONJOINED	FIST		INDEX,MIDDLE,THUMB	THUMB:SIDE	GROUP(CONJOINED:INDEX|MIDDLE),GROUP(CONJOINED:THUMB|PALM)
266657	0x411a1	񁆡	HAND-FIST INDEX MIDDLE CONJOINED THUMB SIDE BENT	FIST		INDEX,MIDDLE,THUMB	THUMB:SIDE,THUMB:BENT	GROUP(CONJOINED:INDEX|MIDDLE)
266753	0x41201	񁈁	HAND-FIST MIDDLE THUMB HOOKED INDEX UP	FIST		MIDDLE,THUMB,INDEX	INDEX:UP	GROUP(HOOKED:MIDDLE|THUMB)
266849	0x41261	񁉡	HAND-FIST INDEX THUMB HOOKED MIDDLE UP	FIST		INDEX,THUMB,MIDDLE	MIDDLE:UP	GROUP(HOOKED:INDEX|THUMB)
266945	0x412c1	񁋁	HAND-FIST INDEX MIDDLE CONJOINED HINGED THUMB SIDE	FIST		INDEX,MIDDLE,THUMB	INDEX:HINGED,MIDDLE:HINGED,THUMB:SIDE	GROUP(CONJOINED:INDEX|MIDDLE)
267041	0x41321	񁌡	HAND-FIST INDEX MIDDLE CROSSED THUMB SIDE	FIST		INDEX,MIDDLE,THUMB	THUMB:SIDE	CROSS(INDEX:MIDDLE)
267137	0x41381	񁎁	HAND-FIST INDEX MIDDLE CONJOINED THUMB FORWARD	FIST		INDEX,MIDDLE,THUMB	THUMB:FORWARD	GROUP(CONJOINED:INDEX|MIDDLE)
267233	0x413e1	񁏡	HAND-FIST INDEX MIDDLE CONJOINED CUPPED THUMB FORWARD	FIST		INDEX,MIDDLE,THUMB	INDEX:CUPPED,MIDDLE:CUPPED,THUMB:FORWARD	GROUP(CONJOINED:INDEX|MIDDLE)
267329	0x41441	񁑁	HAND-FIST MIDDLE THUMB CUPPED INDEX UP	FIST		MIDDLE,THUMB,INDEX	MIDDLE:CUPPED,THUMB:CUPPED,INDEX:UP	
267425	0x414a1	񁒡	HAND-FIST INDEX THUMB CUPPED MIDDLE UP	FIST		INDEX,THUMB,MIDDLE	INDEX:CUPPED,THUMB:CUPPED,MIDDLE:UP	
267521	0x41501	񁔁	HAND-FIST MIDDLE THUMB CIRCLED INDEX UP	FIST		MIDDLE,THUMB,INDEX	INDEX:UP	GROUP(CIRCLED:MIDDLE|THUMB)
267617	0x41561	񁕡	HAND-FIST MIDDLE THUMB CIRCLED INDEX HINGED	FIST		MIDDLE,THUMB,INDEX	INDEX:HINGED	GROUP(CIRCLED:MIDDLE|THUMB)
267713	0x415c1	񁗁	HAND-FIST INDEX THUMB ANGLED OUT MIDDLE UP	FIST		INDEX,THUMB,MIDDLE	THUMB:ANGLED_OUT,MIDDLE:UP	
267809	0x41621	񁘡	HAND-FIST INDEX THUMB ANGLED IN MIDDLE UP	FIST		INDEX,THUMB,MIDDLE	THUMB:ANGLED_IN,MIDDLE:UP	
267905	0x41681	񁚁	HAND-FIST INDEX THUMB CIRCLED MIDDLE UP	FIST		INDEX,THUMB,MIDDLE	MIDDLE:UP	GROUP(CIRCLED:INDEX|THUMB)
268001	0x416e1	񁛡	HAND-FIST INDEX MIDDLE THUMB CONJOINED HINGED	FIST		INDEX,MIDDLE,THUMB	INDEX:HINGED,MIDDLE:HINGED,THUMB:HINGED	GROUP(CONJOINED:INDEX|MIDDLE|THUMB|PALM)
